"Update du 08/07","PDJ","HTL Guests","Table réservée","Golf","Evenement"
"","","","","",""
"Monday 7 July 2025","4","4","","",""
"Tuesday 8 July 2025","4","6","","Les Seniors invitent les Ladies (+-40)",""
"Wednesday 9 July 2025","4+2","5","","Afterworks (+-30)",""
"Thursday 10 July 2025","2+3","12","Loiseau 2P 19h30 + Claudon 10p","Working Ladies-Eclectique 3 (28) + Ladies invitent Empereur (40)",""
"Friday 11 July 2025","10+2","14","","SUD EST (40p)",""
"Saturday 12 July 2025","10+4","11","","PRIX CS (max 120)",""
"Sunday 13 July 2025","7+2+2","2","","Let's Play PP (max 30) + IGC (+-15) + AOKI Group (+-24)",""
"","","","","",""
"Monday 14 July 2025","2","16","Lunch Stage Juniors  + Diner 3serv Group MAERTENS 18p (+1 verre de Cava/snacks à 12€/pers pour 20pax-price giving)","",""
"Tuesday 15 July 2025","14+2","2","Lunch Stage Juniors (5)","Seniors Challenge ETE + Sport (max60)",""
"Wednesday 16 July 2025","2","","Lunch Stage Juniors (5)","Mens + Afterworks",""
"Thursday 17 July 2025","","","Lunch Stage Juniors (5) + CLUB B4C Lunch (Cfr Adriano)","Group MITTLER (14)",""
"Friday 18 July 2025","","4","Lunch Stage Juniors (5)","Lets' Play",""
"Saturday 19 July 2025","4","16","Diner 3serv Voucher PIN HIGH (Lampaert 2p 19h30) + 10p BREES 19H","",""
"Sunday 20 July 2025","2+4+10","4 (2RO)","","Prix des BELGES-Course au drapeau (max120) ","Prévoir BBQ !!Prix Flag"
"","","","","",""
"Monday 21 July 2025","2","17"," Menu TO Dîner -Party Loning voucher Pin High (14p) + 2pers Roodfeld 19h (à la carte)","",""
"Tuesday 22 July 2025","14+2(+1?)","16"," Menu TO Dîner -Party Loning voucher Pin High (14p) + 2 pers Menu TO voucher (Roodfeld 19h)","SENIORS - SINGLE STABLEFORD Q",""
"Wednesday 23 July 2025","14+2","14"," Menu TO Dîner -Party Loning voucher Pin High (14p)","MENS - AFTERWORKs",""
"Thursday 24 July 2025","14","","","LADIES - Summer Cup 4",""
"Friday 25 July 2025","","4","Van der Toorn 4pers Lunch + Dinner","Let's Play Grand Pierpont",""
"Saturday 26 July 2025","4","14","MSE Europe (19P Golf+Lunch) + 4Pers Dinner RUTTEN + 2 Menu TO diner (Morrels-Dobbelaere)","SUMMER CUP1-Shamble + MSE Europe (=Kazuki Onuma)",""
"Sunday 27 July 2025","4+4+4+2","4","ESBJORN (4p Late lunch after play +-14h)","Eurocontrol (6p)",""
"","","","","",""
